Name,Domain count,rdap_url,Gateway_Provider
Tucows Domains Inc.,10194582.0,opensrs.rdap.tucows.com,Tucows
"Network Solutions, LLC",6921637.0,rdap.networksolutions.com,
"Alibaba Cloud Computing (Beijing) Co., Ltd.",6656465.0,whois.aliyun.com,
Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),5444550.0,whois.aliyun.com,
"GMO Internet, Inc. d/b/a Onamae.com",5325923.0,rdap.gmo-onamae.com,
"eNom, LLC",5314291.0,enom.rdap.tucows.com,Tucows
Google LLC,4894266.0,domainsrdap.googleapis.com,
1&1 IONOS SE,4878210.0,rdap.ionos.com,
PDR Ltd. d/b/a PublicDomainRegistry.com,4845099.0,rdapserver.net,
Xin Net Technology Corporation,3827131.0,rdap.xinnet.com,
"Chengdu West Dimension Digital Technology Co., Ltd.",3536841.0,rdap.west.cn,
"NameSilo, LLC",3430974.0,www.namesilo.com,
West263 International Limited,3320839.0,rdap.hkdns.hk,
"Wild West Domains, LLC",2755518.0,rdap.secureserver.net,
"Dynadot, LLC",2342358.0,rdap.dynadot.com,
FastDomain Inc.,2334868.0,rdap.fastdomain.com,
OVH sas,2299863.0,rdap.ovh.com,
"Name.com, Inc.",2077924.0,namerdap.systems,
Web Commerce Communications Limited dba WebNic.cc,2043479.0,rdap.webnic.cc,
"Domain.com, LLC",1749126.0,endurance.rdap.tucows.com,Tucows
"Register.com, Inc.",1708466.0,rdap.register.com,
Key-Systems GmbH,1413748.0,rdap.rrpproxy.net,RRPProxy/CentralNic
"CSC Corporate Domains, Inc.",1399076.0,apis.cscglobal.com,
Gandi SAS,1383972.0,rdap.gandi.net,
GoDaddy Online Services Cayman Islands Ltd.,1242729.0,rdap.uniregistrar.net,
Cronon AG,1125619.0,rdap.cronon.net,
"PSI-USA, Inc. dba Domain Robot",1064015.0,rdap.psi-usa.info,
Mesh Digital Limited,1037805.0,rdap.meshdigital.com,
"eName Technology Co., Ltd.",1035353.0,whois.ename.com,
MarkMonitor Inc.,949342.0,rdap.markmonitor.com,
Automattic Inc.,935739.0,rdap.sawbuck.com,
"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",935379.0,rdap.ascio.com,Tucows
Wix.com Ltd.,924058.0,www.wix.com,
Registrar of Domain Names REG.RU LLC,917444.0,rdap.reg.com,
123-Reg Limited,872040.0,rdap.123-reg.co.uk,
"TurnCommerce, Inc. DBA NameBright.com",837257.0,rdap.namebright.com,
ALIBABA.COM SINGAPORE E-COMMERCE PRIVATE LIMITED,830808.0,whois.aliyun.com,
Hosting Concepts B.V. d/b/a Registrar.eu,812193.0,rdap.registrar.eu,
1API GmbH,771755.0,rdap.1api.net,
"Amazon Registrar, Inc.",753000.0,rdap.registrar.amazon.com,
Launchpad.com Inc.,729662.0,rdapserver.net,
"DreamHost, LLC",725334.0,dreamhost.rdap.tucows.com,Tucows
"DNSPod, Inc.",709220.0,rdap.dnspod.cn,
"Epik, Inc.",683131.0,rdap-whois.epik.com,
Dreamscape Networks International Pte Ltd,674598.0,rdap.dreamscapenetworks.com,
Jiangsu Bangning Science & technology Co. Ltd.,641974.0,rdap.55hl.com,
Register SPA,641630.0,rdap-register.info,
united-domains AG,625052.0,rdap.udag.net,
"Hostinger, UAB",590290.0,rdapserver.net,
MAFF Inc.,560684.0,whois.xz.com,
"Bizcn.com, Inc.",556685.0,rdap.bizcn.com,
FBS Inc.,526315.0,rdap.isimtescil.net,
"Gabia, Inc.",523189.0,rdap.gabiadns.com,
Nics Telekomunikasyon A.S.,521760.0,rdap.nicproxy.com,
RegistryGate GmbH,500937.0,rdap.registrygate.com,
"DNC Holdings, Inc.",468795.0,rdap.directnic.com,
"Key-Systems, LLC",465375.0,rdap.rrpproxy.net,RRPProxy/CentralNic
CSL Computer Service Langenbach GmbH d/b/a joker.com,452842.0,rdap.joker.com,
"Arsys Internet, S.L. dba NICLINE.COM",448525.0,rdap.domainconnection.info,
Realtime Register B.V.,424889.0,rdap.yoursrs.com,
Annulet LLC,401215.0,rdap.annulet.com,
"Japan Registry Services Co., Ltd.",388610.0,rdap.gtld.jprs.jp,
"22net, Inc.",387088.0,rdap.22.cn,
Moniker Online Services LLC,381144.0,rdap.rrpproxy.net,RRPProxy/CentralNic
"Xiamen 35.Com Technology Co., Ltd.",373528.0,rdap.35.com,
Porkbun LLC,364210.0,cart-before.porkbun.horse,
Internet Domain Service BS Corp,352086.0,rdap.internet.bs,
"Netowl, Inc.",348737.0,rdap.star-domain.jp,
"Shanghai Meicheng Technology Information Development Co., Ltd.",344290.0,whois.cndns.com,
"Regional Network Information Center, JSC dba RU-CENTER",322485.0,www.nic.ru,
One.com A/S,316121.0,rdap.one.com,
Vautron Rechenzentrum AG,299718.0,rdap.tmag.de,
"Sea Wasp, LLC",282391.0,rdap.fabulous.com,
BigRock Solutions Ltd.,276454.0,rdapserver.net,
"OwnRegistrar, Inc.",265442.0,rdapbase.com,
"Soluciones Corporativas IP, SL",249443.0,rdap.scip.es,
EuroDNS S.A.,231426.0,rdap.eurodns.com,
"DomainPeople, Inc.",226319.0,domainpeople.rdap.tucows.com,Tucows
"Xiamen ChinaSource Internet Service Co., Ltd",211901.0,rdap.zzy.cn,
EPAG Domainservices GmbH,200439.0,epag.rdap.tucows.com,Tucows
Cloud Yuqu LLC,199415.0,rdap.diymysite.com,
"CloudFlare, Inc.",195932.0,rdap.cloudflare.com,
DomainSpot LLC,191666.0,rdapanchor.com,
"Acens Technologies, S.L.U.",191411.0,rdap.acens.net,
P.A. Viet Nam Company Limited,188740.0,rdap.pavietnam.vn,
Dinahosting s.l.,180406.0,rdap.dinahosting.com,
"URL Solutions, Inc.",180021.0,rdap.pananames.com,
Metaregistrar BV,174851.0,rdap.metaregistrar.com,
TLDS L.L.C. d/b/a SRSPlus,165969.0,rdap.srsplus.com,
Online SAS,163055.0,rdap.bookmyname.com,
"IHS Telekom, Inc.",160821.0,rdapserver.net,
"COREhub, S.R.L.",156771.0,rdap.corenic.net,
"10dencehispahard, S.L.",147509.0,rdap.cdmon.services,
SafeNames Ltd.,145441.0,rdap.safenames.legal,
"Gransy, s.r.o.",143926.0,rdap.regtons.com,
Domeneshop AS dba domainnameshop.com,143508.0,rdap.domeneshop.no,
"Knet Registrar Co., Ltd",142828.0,rdap.knetreg.cn,
NetEarth One Inc. d/b/a NetEarth,142479.0,rdapserver.net,
Whois Corp.,141987.0,www.yesnic.com,
Nom-iq Ltd. dba COM LAUDE,140184.0,rdap.comlaude.com,
Instra Corporation Pty Ltd.,139028.0,rdap.instra.com,
101domain GRS Limited,136447.0,rdap.101domain.com,
"Sav.com, LLC",135595.0,rdapserver.net,
MAT BAO CORPORATION,134504.0,rdapserver.net,
Webcentral Group Limited dba Melbourne IT,132661.0,webcentralgroup.rdap.tucows.com,Tucows
"Xiamen Nawang Technology Co., Ltd",130665.0,rdap.nawang.cn,
Hosting Ukraine LLC,129749.0,rdap.ukraine.com.ua,
Netregistry Wholesale Pty Ltd,129629.0,tpp.rdap.tucows.com,Tucows
Nominalia Internet S.L.,129404.0,rdap-nominalia.info,
"Zhengzhou Century Connect Electronic Technology Development Co., Ltd",120842.0,rdap.reg.cn,
CV. Jogjacamp,120527.0,rdap.liqu.id,
Hetzner Online GmbH,119267.0,rdap.your-server.de,
Synergy Wholesale Pty Ltd,112721.0,rdap.synergywholesale.com,
CV. Rumahweb Indonesia,111251.0,rdap.rumahweb.com,
NetRegistry Pty Ltd.,107039.0,netregistry.rdap.tucows.com,Tucows
INWX GmbH & Co. KG,105027.0,rdap.domrobot.com,
Easyspace Limited,103758.0,easyspace.rdap.tucows.com,Tucows
Beget LLC,103122.0,rdapserver.net,
Danesco Trading Ltd.,102277.0,rdap.danesconames.com,
Above.com Pty Ltd.,101928.0,www.above.com,
"TecnocrÃ¡tica Centro de Datos, S.L.",101516.0,rdapserver.net,
Ligne Web Services SARL dba LWS,95873.0,rdap.lws.fr,
Namebay SAM,94762.0,rdap.namebay.com,
Rebel Ltd,93931.0,rdap.rebel.com,
Infomaniak Network SA,92810.0,rdap.infomaniak.com,
"Inames Co., Ltd.",88363.0,rdap.inames.co.kr,
Media Elite Holdings Limited,87291.0,rdap.registermatrix.com,
Paragon Internet Group Ltd t/a Paragon Names,86963.0,paragon.rdap.tucows.com,Tucows
"pair Networks, Inc. d/b/a pair Domains",86558.0,www.pairdomains.com,
Dotname Korea Corp.,84537.0,rdap.dotnamekorea.com,
"Name Share, Inc.",84350.0,rdap.nameshare.com,
TLD Registrar Solutions Ltd.,82239.0,rdap.tldregistrarsolutions.com,
Alpine Domains Inc.,81068.0,rdapserver.net,
Aerotek Bilisim Sanayi ve Ticaret AS,80389.0,rdapserver.net,
NameSecure L.L.C.,79442.0,rdap.namesecure.com,
LiquidNet Ltd.,79086.0,rdap.liquidnetlimited.com,
Dattatec Corp,75932.0,administracion.donweb.com,
"Hongkong Domain Name Information Management Co., Ltd.",75289.0,rdap.dnsgulf.com,
Reg2C.com Inc.,75272.0,rdapserver.net,
"Go Canada Domains, LLC",74952.0,rdap.gocanadadomains.com,
"Blue Razor Domains, LLC",73535.0,rdap.bluerazor.com,
"Omnis Network, LLC",73417.0,rdap.omnis.com,
Rebel.ca Corp.,72835.0,rdap.rebel.com,
easyDNS Technologies Inc.,72587.0,easydns.rdap.tucows.com,Tucows
NetArt Registrar Sp. z o.o.,71747.0,rdap.netart-registrar.com,
ENARTIA S.A.,71437.0,papaki.rdap.tucows.com,Tucows
"Go France Domains, LLC",69317.0,rdap.gofrancedomains.com,
Atak Domain Hosting Internet ve Bilgi Teknolojileri Limited Sirketi d/b/a Atak Teknoloji,69069.0,rdap.apiname.com,
Deutsche Telekom AG,68461.0,rdap.telekom-registrar.de,
"Go China Domains, LLC",68087.0,rdap.gochinadomains.com,
"Go Australia Domains, LLC",66142.0,rdap.goaustraliadomains.com,
"Hong Kong Juming Network Technology Co., Ltd",65438.0,rdap.gathernames.com,
Webnames.ca Inc.,65298.0,www.webnames.ca,
"Go Montenegro Domains, LLC",65062.0,rdap.gomontenegrodomains.com,
Blacknight Internet Solutions Ltd.,63510.0,rdap.blacknight.com,
Neubox Internet S.A. de C.V.,62661.0,rdapserver.net,
Domainwards.com LLC,58958.0,rdap.namebright.com,
"Name106, Inc.",58205.0,namerdap.systems,
In2net Network Inc.,58101.0,iregister.rdap.tucows.com,Tucows
World4You Internet Services GmbH,58039.0,rdap.world4you.biz,
Nhan Hoa Software Company Ltd.,57102.0,rdapserver.net,
DomainHood LLC,57009.0,rdap.namebright.com,
"Net-Chinese Co., Ltd.",54998.0,rdap.net-chinese.com,
DomainFalcon LLC,54729.0,rdap.namebright.com,
"DomainAdministration.com, LLC",53042.0,rdap.domainadministration.com,
DomainLocal LLC,53015.0,rdap.namebright.com,
"Global Domains International, Inc. DBA DomainCostClub.com",51380.0,rdap.domaincostclub.com,
"Guangdong JinWanBang Technology Investment Co., Ltd.",50982.0,rdap.gzidc.com,
"Guangzhou Domains, Inc.",50584.0,whois.xz.com,
http.net Internet GmbH,50546.0,rdap.routing.net,
CommuniGal Communication Ltd.,49971.0,rdap.communigal.net,
"DomainSite, Inc.",49837.0,namerdap.systems,
Nameshield SAS,49236.0,rdap.nameshield.net,
"Network Information Center, S. A. de C. V.",48608.0,rdap.akky.mx,
"Advanced Internet Technologies, Inc. (AIT)",47978.0,rdap.ait.com,
"Internet Invest, Ltd. dba Imena.ua",47650.0,rdapserver.net,
NordNet SA,47037.0,rdap.nordnet.fr,
"Beijing HuaRui Wireless Technology Co., Ltd",45813.0,rdap.rntd.cn,
"Fujian Domains, Inc.",43918.0,whois.xz.com,
NameWeb BVBA,42690.0,rdap-nameweb.biz,
NameScout Corp.,41694.0,rdap.rebel.com,
DOTSERVE INC.,41645.0,rdapserver.net,
"Shanghai Best Oray Information S&T Co., Ltd.",41304.0,rdap.oray.com,
Stichting Registrar of Last Resort Foundation,39440.0,rdap.rolr.uk,
"Azdomainz, LLC",38915.0,rdap.azdomainz.com,
Namespro Solutions Inc.,38321.0,rdapserver.net,
Ports Group AB,37804.0,rdap.ports.domains,
Regtime Ltd.,37024.0,rdap.webnames.ru,
Server Plan Srl,36535.0,rdap.serverplan.com,
Diamatrix C.C.,35505.0,rdap.domains.co.za,
PlanetHoster Inc.,35492.0,www.planethoster.com,
NETIM SARL,35052.0,netim.rdap.services,
April Sea Information Technology Company Limited,34919.0,rdap.maprilis.com.vn,
The Registrar Company B.V.,34185.0,rdap.theregistrarcompany.com,
CPS-Datensysteme GmbH,34087.0,rdap.cps-datensysteme.de,
"Register4Less, Inc.",33943.0,rdapserver.net,
PocketDomain.com Inc.,33763.0,whois.xz.com,
"Vitalwerks Internet Solutions, LLC DBA No-IP",33574.0,rdap.noip.com,
"Chengdu Fly-Digital Technology Co., Ltd.",33324.0,whois.sudu.cn,
"Domainshype.com, LLC",33214.0,rdapserver.net,
iNET CORPORATION,33139.0,rdap.inet.vn,
"DomainName Bridge, Inc.",33106.0,whois.xz.com,
"Misk.com, Inc.",32337.0,rdap.misk.com,
"Marcaria.com International, Inc.",32200.0,rdapserver.net,
"DomainName Driveway, Inc.",31492.0,whois.xz.com,
Ledl.net GmbH,31035.0,rdap.ledl.net,
Nameling.com LLC,30774.0,rdap.namebright.com,
Register.ca Inc.,30572.0,registerca.rdap.tucows.com,Tucows
DOMAIN NAME NETWORK PTY LTD,30429.0,rdap.auswhois.com,
DomainPrime.com LLC,29825.0,rdap.namebright.com,
Innovadeus Pvt. Ltd.,29557.0,rdapserver.net,
"Xiamen Domains, Inc.",29369.0,whois.xz.com,
NameJolt.com LLC,29361.0,rdap.namebright.com,
"Entorno Digital, S.A.",29090.0,rdap.entorno.es,
"MAFF AVENUE, INC.",28495.0,whois.xz.com,
TheNameCo LLC,28314.0,rdap.namebright.com,
DomainTact LLC,27966.0,rdap.namebright.com,
SafeBrands SAS,27908.0,rdap.safebrands.com,
IDC Frontier Inc.,27823.0,rdap.do-reg.net,
NameTell.com LLC,27753.0,rdap.namebright.com,
"Threadagent.com, Inc.",27592.0,whois.xz.com,
"HazelDomains, Inc.",27358.0,whois.xz.com,
TradeNamed LLC,27257.0,rdap.namebright.com,
ProNamed LLC,26829.0,rdap.namebright.com,
Mijn InternetOplossing B.V.,26814.0,rdap.mijninternetoplossing.nl,
DomainCritics LLC,26671.0,rdap.namebright.com,
NameTurn LLC,26661.0,rdap.namebright.com,
Netistrar Limited,26434.0,rdap.netistrar.com,
"CyanDomains, Inc.",26258.0,whois.xz.com,
Register NV dba Register.eu,26204.0,rdap.register.eu,
PHPNET France DBA Nuxit,25968.0,rdapserver.net,
"DomainName Path, Inc.",25792.0,whois.xz.com,
Variomedia AG,25572.0,rdap.variomedia.de,
WorthyDomains LLC,25556.0,rdap.namebright.com,
"Azprivatez, LLC",25552.0,rdap.azprivatez.com,
ZoomRegistrar LLC,25524.0,rdap.namebright.com,
Lexsynergy Limited,25491.0,rdap.lexsynergy.com,
NameBrew LLC,25357.0,rdap.namebright.com,
"Interdominios, Inc.",24942.0,rdapserver.net,
NameSector LLC,24841.0,rdap.namebright.com,
GlamDomains LLC,24817.0,rdap.namebright.com,
"KQW, Inc.",24758.0,whois.xz.com,
NameStrategies LLC,24707.0,rdap.namebright.com,
NameForward LLC,24702.0,rdap.namebright.com,
DomainExtreme LLC,24325.0,rdap.namebright.com,
Shinjiru Technology Sdn Bhd,24309.0,rdapserver.net,
"NICENIC INTERNATIONAL GROUP CO., LIMITED",23973.0,rdap.iisp.com,
"Guangdong Nicenic Technology Co., Ltd. dba NiceNIC",23948.0,rdap.iisp.com,
DomainDelights LLC,23939.0,rdap.namebright.com,
DotNamed LLC,23841.0,rdap.namebright.com,
NameSay LLC,22989.0,rdap.namebright.com,
"GoDaddy Corporate Domains, LLC",22198.0,rdap.brandsight.com,
Domain The Net Technologies Ltd.,22124.0,rdap.domainthenet.com,
NamesHere LLC,21673.0,rdap.namebright.com,
CNOBIN INFORMATION TECHNOLOGY LIMITED,21593.0,rdap.cnobin.com,
PT Ardh Global Indonesia,21207.0,rdapserver.net,
DomainGetter LLC,20845.0,rdap.namebright.com,
VisualNames LLC,20690.0,rdap.namebright.com,
PresidentialDomains LLC,20365.0,rdap.namebright.com,
"The Registry at Info Avenue, LLC d/b/a Spirit Communications",19732.0,rdapserver.net,
"Wingu Networks, S.A. de C.V.",19438.0,interplanet.rdap.tucows.com,Tucows
DomainAhead LLC,19102.0,rdap.namebright.com,
AccentDomains LLC,18775.0,rdap.namebright.com,
ORANGE,18525.0,rdap.oleane.net,
CCI REG S.A.,18379.0,rdap.ccireg.com,
"Domain-It!, Inc.",18074.0,rdap.domainit.com,
"Freeparking Domain Registrars, Inc.",18052.0,rdapserver.net,
"Domainclub.com, LLC",17758.0,rdap.domainclub.com,
DotRoll Kft.,17492.0,rdap.dotroll.com,
"Shanghai Yovole Networks, Inc.",16461.0,rdap.sundns.com,
WHC Online Solutions Inc.,16347.0,rdapserver.net,
Center of Ukrainian Internet Names (UKRNAMES),16224.0,rdap.ukrnames.com,
Total Web Solutions Limited trading as TotalRegistrations,16058.0,rdap.totalregistrations.com,
"HANGANG Systems, Inc. dba Doregi.com",15800.0,rdap.doregi.com,
"EnCirca, Inc.",15442.0,rdap.encirca.com,
Global Village GmbH,15214.0,rdap.global-village.de,
EJEE Group Holdings Limited,14477.0,rdap.domain.cn,
Tiger Technologies LLC,14475.0,www.tigertech.net,
"MidWestDomains, LLC",14135.0,rdap.networksolutions.com,
Namevolcano.com LLC,14030.0,rdap.networksolutions.com,
Namecroc.com LLC,14026.0,rdap.networksolutions.com,
Blue Angel Domains LLC,14020.0,rdap.networksolutions.com,
Free Drop Zone LLC,13915.0,rdap.networksolutions.com,
Domaincatcher LLC,13893.0,rdap.networksolutions.com,
"Desert Sand Domains, LLC",13876.0,rdap.networksolutions.com,
Firstround Names LLC,13871.0,rdap.networksolutions.com,
Best Drop Names LLC,13768.0,rdap.networksolutions.com,
"Domain Name Root, LLC",13740.0,rdap.networksolutions.com,
Namecatch Zone LLC,13716.0,rdap.networksolutions.com,
Touchdown Domains LLC,13685.0,rdap.networksolutions.com,
"Koreacenter co., Ltd.",13572.0,rdap.ssandomain.com,
"Hangzhou Dianshang Internet Technology Co., LTD.",13558.0,rdap.22.cn,
Korea Server Hosting Inc.,13525.0,rdap.ksdom.kr,
"NamePal.com #8024, LLC",13268.0,rdap.networksolutions.com,
"Name Nelly, LLC",13259.0,rdap.networksolutions.com,
"SNAPNAMES 47, LLC",13255.0,rdap.networksolutions.com,
Godomaingo.com LLC,13238.0,rdap.networksolutions.com,
"SNAPNAMES 7, LLC",13205.0,rdap.networksolutions.com,
"NamePal.com #8027, LLC",13182.0,rdap.networksolutions.com,
Aegean Domains LLC,13172.0,rdap.networksolutions.com,
DomainPicking LLC,13131.0,rdap.namebright.com,
EchoDomain LLC,13109.0,rdap.namebright.com,
RegistrarDirect LLC,13057.0,rdap.namebright.com,
Netzadresse.at Domain Service GmbH,13024.0,rdap.ispcomfort.net,
Beijing Zhuoyue Shengming Technologies Company Ltd.,12984.0,rdap.zhuoyue.wang,
Good Domain Registry Pvt Ltd.,12978.0,rdapserver.net,
"Sssasss, LLC",12940.0,rdap.networksolutions.com,
DomainLadder LLC,12899.0,rdap.namebright.com,
Protocol Internet Technology Limited T/A Hosting Ireland,12851.0,rdapserver.net,
Alantron Inc.,12549.0,rdapserver.net,
LiteDomains LLC,12367.0,rdap.namebright.com,
Vodien Internet Solutions Pte Ltd,11782.0,rdap.vodien.com,
"Beijing Guoxu Network Technology Co., Ltd.",11644.0,rdap.guoxuwang.cn,
NameBake LLC,11586.0,rdap.namebright.com,
BlastDomains LLC,11470.0,rdap.namebright.com,
"Domain Registration Services, Inc. dba dotEarth.com",11403.0,secure.iviewer.com,
AcquiredNames LLC,11382.0,rdap.namebright.com,
IP Twins SAS,11340.0,rdap.rrpproxy.net,RRPProxy/CentralNic
InsaneNames LLC,11287.0,rdap.namebright.com,
DomReg Ltd. d/b/a LIBRIS.COM,11240.0,rdap.libris.com,
Digivity B.V.,11188.0,rdapserver.net,
Demys Limited,11162.0,rdap.comlaude.com,
WhatIsYourDomain LLC,11148.0,rdap.namebright.com,
TotallyDomain LLC,11109.0,rdap.namebright.com,
BlockHost LLC,11060.0,rdap.namebright.com,
Hosteur SARL,10921.0,rdapsvc.rag-cloud.hosteur.com,
Catalog.com,10918.0,rdapserver.net,
AvidDomain LLC,10916.0,rdap.namebright.com,
Super Registry Ltd,10688.0,rdap.rebel.com,
NameChild LLC,10652.0,rdap.namebright.com,
NoticedDomains LLC,10645.0,rdap.namebright.com,
Global Domain Name Trading Center Ltd,10358.0,rdap.gdntcl.com,
"NamePal.com #8023, LLC",10330.0,rdap.networksolutions.com,
DomainCraze LLC,10321.0,rdap.namebright.com,
"Hangzhou AiMing Network Co., Ltd.",10200.0,rdap.22.cn,
DomainCreek LLC,10126.0,rdap.namebright.com,
Tname Group Inc.,10104.0,rdap.tname.com,
NetTuner Corp. dba Webmasters.com,9991.0,rdap.webmasters.com,
Nicco Ltd.,9944.0,rdap.nicco.com,
ComfyDomains LLC,9941.0,rdap.namebright.com,
"007Names, Inc.",9854.0,rdap.007names.net,
"Chengdu Century Oriental Network Communication Co., Ltd.",9603.0,rdap.51web.com,
ReclaimDomains LLC,9601.0,rdap.namebright.com,
"Interlink Co., Ltd.",9485.0,rdap.gonbei.jp,
"Nimzo 98, LLC",9483.0,rdap.nimzo98.com,
Webnames Limited,9397.0,rdap.webnames.ru,
Registrar R01 LLC,9264.0,r01.ru,
BB-Online UK Limited,8915.0,rdap.bb-online.com,
Genious Communications SARL/AU,8808.0,rdapserver.net,
Web4Africa (Pty) Ltd,8675.0,rdapserver.net,
"Beijing Zihai Technology Co., Ltd",8582.0,rdap.thinkpro.cn,
"PSI-Japan, Inc.",8580.0,rdap.psi.jp,
"Shenzhen Internet Works Online Technology Co., Ltd. (62.com)",8337.0,rdap.62.com,
UdomainName.com LLC,8241.0,rdap.networksolutions.com,
Name SRS AB,8190.0,rdap.namesrs.com,
Freeparking Limited,8155.0,opensrs.rdap.tucows.com,Tucows
RegistrarSEC LLC,8138.0,rdap.registrarsec.com,
"Cosmotown, Inc.",8063.0,www.cosmotown.com,
Beijing ZhongWan Network Technology Co Ltd,8016.0,rdap.zw.cn,
DropCatch.com 445 LLC,7665.0,rdap.namebright.com,
Ilait AB,7655.0,rdap.ilait.com,
DropCatch.com 415 LLC,7461.0,rdap.namebright.com,
DropCatch.com 418 LLC,7257.0,rdap.namebright.com,
Webagentur.at Internet Services GmbH d/b/a domainname.at,7191.0,rdap.inname.net,
BDL Systemes SAS dba SYSTONIC,7169.0,rdap.prodomaines.com,
"DotArai Co., Ltd.",7147.0,rdap.dotarai.com,
DropCatch.com 348 LLC,7137.0,rdap.namebright.com,
DropCatch.com 431 LLC,7125.0,rdap.namebright.com,
DropCatch.com 435 LLC,7008.0,rdap.namebright.com,
DOMAIN ORIENTAL LIMITED,6923.0,rdap.domainoriental.com,
SW Hosting & Communications Technologies SL dba Serveisweb,6901.0,rdap.swhosting.com,
Reliable Software,6843.0,rdap.hoster.by,
DropCatch.com 349 LLC,6779.0,rdap.namebright.com,
DropCatch.com 347 LLC,6727.0,rdap.namebright.com,
DropCatch.com 346 LLC,6689.0,rdap.namebright.com,
Naugus Limited LLC,6581.0,rdap.naugus.com,
DropCatch.com 345 LLC,6564.0,rdap.namebright.com,
Arcanes Technologies,6281.0,rdapserver.net,
DropCatch.com 725 LLC,6180.0,rdap.namebright.com,
DropCatch.com 624 LLC,6073.0,rdap.namebright.com,
"NamePal.com, LLC",5976.0,www.namepal.com,
DropCatch.com 728 LLC,5970.0,rdap.namebright.com,
DropCatch.com 513 LLC,5951.0,rdap.namebright.com,
DropCatch.com 623 LLC,5922.0,rdap.namebright.com,
"Nakazawa Trading Co.,Ltd.",5921.0,rdap.rrpproxy.net,RRPProxy/CentralNic
DropCatch.com 626 LLC,5919.0,rdap.namebright.com,
DropCatch.com 723 LLC,5907.0,rdap.namebright.com,
DropCatch.com 482 LLC,5904.0,rdap.namebright.com,
NameCamp Limited,5891.0,rdap.namecamp.com,
DropCatch.com 727 LLC,5870.0,rdap.namebright.com,
Registrator Domenov LLC,5842.0,rdap.mastername.ru,
DropCatch.com 515 LLC,5743.0,rdap.namebright.com,
"NamePal.com #8026, LLC",5738.0,rdap.networksolutions.com,
DropCatch.com 628 LLC,5721.0,rdap.namebright.com,
DropCatch.com 726 LLC,5720.0,rdap.namebright.com,
DropCatch.com 738 LLC,5718.0,rdap.namebright.com,
DropCatch.com 724 LLC,5678.0,rdap.namebright.com,
"EIMS (Shenzhen) Culture & Technology Co., Ltd",5659.0,rdap.190.vip,
DropCatch.com 625 LLC,5648.0,rdap.namebright.com,
DropCatch.com 514 LLC,5640.0,rdap.namebright.com,
DropCatch.com 627 LLC,5618.0,rdap.namebright.com,
DropCatch.com 753 LLC,5546.0,rdap.namebright.com,
DomainRegistry.com Inc.,5541.0,dr-rdap.domainregistry.com,
DropCatch.com 483 LLC,5539.0,rdap.namebright.com,
